plan,target,status,score,exact,close,wrong,missing,extra,totals,n_tables,n_attempts,crash,run_dir,ppd
hou_gen,Age_Serv_Num,scored,0.0172,1,3,52,2,1,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_gen_Age_Serv_Num_20260729_184727,ok
hou_gen,Age_Serv_Wage,scored,0.0,0,4,51,3,0,suspect,2,8,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_gen_Age_Serv_Wage_20260729_184748,
hou_gen,Ret_Rate,scored,0.0,0,0,0,168,0,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_gen_Ret_Rate_20260729_185726,
hou_gen,Sep_Rate,crash,,,,,,,,,,object of type 'int' has no len(),/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_gen_Sep_Rate_20260729_185749,
hou_gen,Avg_Mort,crash,,,,,,,,,,object of type 'int' has no len(),/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_gen_Avg_Mort_20260729_191308,
hou_gen,Retirement,crash,,,,,,,,,,harness error: row 50-54: share_even takes one source,,
hou_pol,Age_Serv_Num,scored,0.5227,23,0,15,6,1,suspect,4,9,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_pol_Age_Serv_Num_20260729_191648,ok
hou_pol,Age_Serv_Wage,scored,0.0,0,0,44,0,1,suspect,2,8,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_pol_Age_Serv_Wage_20260729_191935,
hou_pol,Ret_Rate,scored,1.0,189,0,0,0,0,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_pol_Ret_Rate_20260729_192206,
hou_pol,Sep_Rate,scored,0.6374,58,0,5,28,0,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_pol_Sep_Rate_20260729_192254,
hou_pol,Avg_Mort,scored,0.0,0,0,60,40,0,clean,3,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_pol_Avg_Mort_20260729_192328,
hou_pol,Retirement,unavailable,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_pol_Retirement_20260729_192408,
lax_ffpol,Age_Serv_Num,scored,1.0,48,0,0,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/lax_ffpol_Age_Serv_Num_20260729_192439,ok
lax_ffpol,Age_Serv_Wage,scored,0.9375,45,0,3,0,0,clean,2,4,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/lax_ffpol_Age_Serv_Wage_20260729_192521,
lax_ffpol,Ret_Rate,production,,,,,,,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/lax_ffpol_Ret_Rate_20260729_192744,
lax_ffpol,Sep_Rate,scored,0.3909,43,0,6,61,0,none,2,3,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/lax_ffpol_Sep_Rate_20260729_192835,
lax_ffpol,Avg_Mort,production,,,,,,,clean,6,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/lax_ffpol_Avg_Mort_20260729_192959,
lax_ffpol,Retirement,unavailable,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/lax_ffpol_Retirement_20260729_193100,
lax_gen,Age_Serv_Num,scored,0.9655,56,0,2,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/lax_gen_Age_Serv_Num_20260729_193143,ok
